Length (mm),Current (mA),Power (W)
1.5,195,0.25608255840649663
1.5,196,0.2564720245103906
1.5,197,0.2615110232306365
1.5,198,0.26153511039522415
1.5,199,0.26163148124173863
1.5,200,0.2618062439211902
1.5,201,0.2667227130113958
1.5,202,0.2667472802124576
1.5,203,0.2668394273714442
1.5,204,0.2671222105297691
1.5,205,0.2672883315003468
1.5,206,0.27145009626086114
1.5,207,0.27166269202972537
1.5,208,0.2718128598704091
1.5,209,0.27224505495681595
1.5,210,0.27707669583872047
1.5,211,0.27710859730855414
1.5,212,0.27719794096581907
1.5,213,0.2773703279451873
1.5,214,0.2816307034859232
1.5,215,0.2816501585176556
1.5,216,0.2817150183302752
1.5,217,0.28183829312644537
1.5,218,0.2820265534040124
1.5,219,0.28224743250034334
1.5,220,0.28701857241721984
1.5,221,0.28732274043019135
1.5,222,0.2875411464674005
1.5,223,0.2922469584817855
1.5,224,0.29225368779416006
1.5,225,0.2924085047521759
1.5,226,0.2925566672783617
1.5,227,0.2927588280804697
1.5,228,0.29732402267421865
1.5,229,0.2973719495069291
1.5,230,0.29749522541119944
1.5,231,0.2978585013094082
1.5,232,0.29809177975716294
1.5,233,0.30260074993507896
1.5,234,0.3026495273442832
1.5,235,0.30291445622164925
1.5,236,0.3031098153584048
1.5,237,0.3075671865615616
1.5,238,0.3077513735907868
1.5,239,0.3078505969043612
1.5,240,0.3081555542943508
1.5,241,0.3083613937831645
1.5,242,0.31282395322577405
1.5,243,0.31287437855346617
1.5,244,0.31301128827688685
1.5,245,0.31333578717162186
1.5,246,0.3135378673551166
1.5,247,0.3178996135709495
1.5,248,0.3178996135709495
1.5,249,0.3180606923667256
1.5,250,0.32246308161600373
3,0,0.001864232
3,1,0.001886253
3,2,0.001890602
3,3,0.001898454
3,4,0.001912053
3,5,0.001928413
3,6,0.001944017
3,7,0.001972877
3,8,0.00199159
3,9,0.002011407
3,10,0.002051162
3,11,0.002071095
3,12,0.002115437
3,13,0.00216023
3,14,0.002187258
3,15,0.002211057
3,16,0.002235116
3,17,0.002265687
3,18,0.00231953
3,19,0.002346929
3,20,0.002403256
3,21,0.002431644
3,22,0.002462068
3,23,0.002494595
3,24,0.002527551
3,25,0.002557997
3,26,0.002619992
3,27,0.002691535
3,28,0.002723955
3,29,0.002797049
3,30,0.002835306
3,31,0.002872764
3,32,0.00291407
3,33,0.002959375
3,34,0.003052109
3,35,0.00310456
3,36,0.003155731
3,37,0.003256867
3,38,0.003304456
3,39,0.003352741
3,40,0.003404866
3,41,0.003461784
3,42,0.003518844
